avgOxygenSaturation.timeFrame.timestamp,avgOxygenSaturation.oxygenSaturation.value,
2022-05-18 04:12:10,96.35,
2022-05-18 04:11:10,95.75,
2022-05-18 04:10:10,95.5,
2022-05-18 04:09:11,95.43,
2022-05-18 04:08:11,95.66,
2022-05-18 04:07:11,95.38,
2022-05-18 04:06:11,95.65,
2022-05-18 04:05:11,96.47,
2022-05-18 04:04:11,96.41,
2022-05-18 04:03:11,94.55,
2022-05-18 04:02:11,95.38,
2022-05-18 04:01:11,97.35,
2022-05-18 04:00:12,99.15,
2022-05-18 03:59:12,99.43,
2022-05-18 03:58:12,99.02,
2022-05-18 03:57:12,99.18,
2022-05-18 03:56:12,98.36,
2022-05-18 03:55:12,98.83,
2022-05-18 03:54:12,97.51,
2022-05-18 03:53:12,97.09,
2022-05-18 03:52:12,97.02,
2022-05-18 03:51:13,96.8,
2022-05-18 03:50:13,97.39,
2022-05-18 03:49:13,97.4,
2022-05-18 03:48:13,97.26,
2022-05-18 03:47:13,96.89,
2022-05-18 03:46:13,96.59,
2022-05-18 03:45:13,97.29,
2022-05-18 03:44:13,96.8,
2022-05-18 03:43:13,97.1,
2022-05-18 03:42:14,97.22,
2022-05-18 03:41:14,96.98,
2022-05-18 03:40:14,97.56,
2022-05-18 03:39:14,97.58,
2022-05-18 03:38:14,97.91,
2022-05-18 03:37:14,97.8,
2022-05-18 03:36:14,97.65,
2022-05-18 03:35:14,97.58,
2022-05-18 03:34:14,97.54,
2022-05-18 03:33:15,97.43,
2022-05-18 03:32:15,97.68,
2022-05-18 03:31:15,97.92,
2022-05-18 03:30:15,98.05,
2022-05-18 03:29:15,97.75,
2022-05-18 03:28:15,97.51,
2022-05-18 03:27:15,97.95,
2022-05-18 03:26:15,97.92,
2022-05-18 03:25:15,97.71,
2022-05-18 03:24:16,97.96,
2022-05-18 03:23:16,98.47,
2022-05-18 03:22:16,96.77,
2022-05-18 03:21:16,96.04,
2022-05-18 03:20:16,94.75,
2022-05-18 03:19:16,95.41,
2022-05-18 03:18:16,99.17,
2022-05-18 03:17:16,94.86,
2022-05-18 03:16:16,95.06,
2022-05-18 03:15:16,92.16,
2022-05-18 03:14:17,94.92,
2022-05-18 03:13:17,93.64,
2022-05-18 03:12:17,94.66,
2022-05-18 03:11:17,93.71,
2022-05-18 03:10:17,94.42,
2022-05-18 03:09:17,95.53,
2022-05-18 03:08:17,96.28,
2022-05-18 03:07:17,96.4,
2022-05-18 03:06:17,96.42,
2022-05-18 03:05:18,96.9,
2022-05-18 03:04:18,96.9,
2022-05-18 03:03:18,97.4,
2022-05-18 03:02:18,97.49,
2022-05-18 03:01:18,96.96,
2022-05-18 03:00:18,94.78,
2022-05-18 02:59:18,98.57,
2022-05-18 02:58:18,97.97,
2022-05-18 02:57:18,96.64,
2022-05-18 02:56:19,97.45,
2022-05-18 02:55:19,96.99,
2022-05-18 02:54:19,95.79,
2022-05-18 02:53:19,95.63,
2022-05-18 02:52:19,96.94,
2022-05-18 02:51:19,96.14,
2022-05-18 02:50:19,96.07,
2022-05-18 02:49:19,95.79,
2022-05-18 02:48:19,96.37,
2022-05-18 02:47:20,95.3,
2022-05-18 02:46:20,96.84,
2022-05-18 02:45:20,97.5,
2022-05-18 02:44:20,97.48,
2022-05-18 02:43:20,97.62,
2022-05-18 02:42:20,97.81,
2022-05-18 02:41:20,97.69,
2022-05-18 02:40:20,98.95,
2022-05-18 02:39:20,99.05,
2022-05-18 02:38:21,99.03,
2022-05-18 02:37:21,99.19,
2022-05-18 02:36:21,98.95,
2022-05-18 02:35:21,99.31,
2022-05-18 02:34:21,98.69,
2022-05-18 02:33:21,99.33,
2022-05-18 02:32:21,99.44,
2022-05-18 02:31:21,99.41,
2022-05-18 02:30:21,99.41,
2022-05-18 02:29:22,99.34,
2022-05-18 02:28:22,99.23,
2022-05-18 02:27:22,99.35,
2022-05-18 02:26:22,99.46,
2022-05-18 02:25:22,99.38,
2022-05-18 02:24:22,99.58,
2022-05-18 02:23:22,99.46,
2022-05-18 02:22:22,99.35,
2022-05-18 02:21:22,98.98,
2022-05-18 02:20:22,99.29,
2022-05-18 02:19:23,99.02,
2022-05-18 02:18:23,99.29,
2022-05-18 02:17:23,99.56,
2022-05-18 02:16:23,99.05,
2022-05-18 02:15:23,98.95,
2022-05-18 02:14:23,98.93,
2022-05-18 02:13:23,99.37,
2022-05-18 02:12:23,98.57,
2022-05-18 02:11:23,98.57,
2022-05-18 02:10:24,99.09,
2022-05-18 02:09:24,99.51,
2022-05-18 02:08:24,99.8,
2022-05-18 02:07:24,99.47,
2022-05-18 02:06:24,99.36,
2022-05-18 02:05:24,99.05,
2022-05-18 02:04:24,98.56,
2022-05-18 02:03:24,99.29,
2022-05-18 02:02:24,99.46,
2022-05-18 02:01:25,99.42,
2022-05-18 02:00:25,99.21,
2022-05-18 01:59:25,99.67,
2022-05-18 01:58:25,99.18,
2022-05-18 01:57:25,99.63,
2022-05-18 01:56:25,99.56,
2022-05-18 01:55:25,99.44,
2022-05-18 01:54:25,98.62,
2022-05-03 03:46:13,97.22,
2022-05-03 03:45:13,97.02,
2022-05-03 03:44:13,98.15,
2022-05-03 03:43:13,97.62,
2022-05-03 03:42:13,96.74,
2022-05-03 03:41:13,98.59,
2022-05-03 03:40:13,96.92,
2022-05-03 03:39:13,98.02,
2022-05-03 03:38:13,96.64,
2022-05-03 03:37:14,97.09,
2022-05-03 03:36:14,97.31,
2022-05-03 03:35:14,97.54,
2022-05-03 03:34:14,97.2,
2022-05-03 03:33:14,98.63,
2022-05-03 03:32:14,99.7,
2022-05-03 03:31:14,99.68,
2022-05-03 03:30:14,99.91,
2022-05-03 03:29:14,99.81,
2022-05-03 03:28:14,99.57,
2022-05-03 03:27:15,99.73,
2022-05-03 03:26:15,98.66,
2022-05-03 03:25:15,95.52,
2022-05-03 03:24:15,95.85,
2022-05-03 03:23:15,95.22,
2022-05-03 03:22:15,94.16,
2022-05-03 03:21:15,96.55,
2022-05-03 03:20:15,98.77,
2022-05-03 03:19:15,98.83,
2022-05-03 03:18:16,98.63,
2022-05-03 03:17:16,97.66,
2022-05-03 03:16:16,97.67,
2022-05-03 03:15:16,97.17,
2022-05-03 03:14:16,97.23,
2022-05-03 03:13:16,97.95,
2022-05-03 03:12:16,97.72,
2022-05-03 03:11:16,98.39,
2022-05-03 03:10:16,98.9,
2022-05-03 03:09:17,97.06,
2022-05-03 03:08:17,97.98,
2022-05-03 03:07:17,98.02,
2022-05-03 03:06:17,98.55,
2022-05-03 03:05:17,97.64,
2022-05-03 03:04:17,96.67,
2022-05-03 03:03:17,97.04,
2022-05-03 03:02:17,96.8,
2022-05-03 03:01:17,96.87,
2022-05-03 03:00:18,96.64,
2022-05-03 02:59:18,98.03,
2022-05-03 02:58:18,97.82,
2022-05-03 02:57:18,96.56,
2022-05-03 02:56:18,97.47,
2022-05-03 02:55:18,97.17,
2022-05-03 02:54:18,96.6,
2022-05-03 02:53:18,97.04,
2022-05-03 02:52:18,98.55,
2022-05-03 02:51:19,98.1,
